Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C8, C9",603,4,10μF. 25V. 20%,C96446
"C11, C3",603,2,1μF. 16V. 10%,C15849
C12,603,1,0.1uF 4V,
C13,603,1,0.1uF 2V,
C14,603,1,2.2nF 50V,
"C2, C6, C7",603,3,0.1μF. 50V. 10%,C14663
C4,805,1,10μF. 50V,C440198
C5,805,1,22μF 25V,C45783
D1,603,1,LED,C2286
D10,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2843785
D11,D_SOD-123,1,1N4148W,C7420318
"D2, D3, D4, D6, D7, D8",D_SOD-523,6,D_TVS,C383211
"D5, D9",D_SOD-123,2,1N5819,C82544
IC1,ESP32C6WROOM1N8,1,ESP32-C6-WROOM-1-N8,C5366877
IC2,SOT65P210X110-6N,1,~,C82368
"J1, J2",USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,2,USB_C_Receptacle_USB2.0_14P,C165948
"R1, R11, R12, R13, R2",603,5,10k. 1%,C25804
R10,603,1,22.1k. 1%,C31850
R14,603,1,4.7K. 1%,C31850
R15,603,1,47K. 1%,C21189
"R16, R17",603,2,10K,C25804
"R3, R4, R5, R6, R7",603,5,5.1k,C23186
R8,603,1,1k. 1%,C21190
R9,603,1,47.5k. 1%,C25819
"SW1, SW2",SW-TH_TK-6580A8-1,2,TK-6580A8-1,C528772
U1,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,C964632
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
U3,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,C24112